config_seed,scenario,epsilon,sample_size,population_n,reference_method,ablation_method,n_paired_trials,mean_reference_overall_l1,mean_comparison_overall_l1,mean_delta_overall_l1,win_rate_delta_overall_l1,ci95_low_delta_overall_l1,ci95_high_delta_overall_l1,mean_reference_worst_group_l1_major,mean_comparison_worst_group_l1_major,mean_delta_worst_group_l1,win_rate_delta_worst_group_l1,ci95_low_delta_worst_group_l1,ci95_high_delta_worst_group_l1
123,nonlinear_interaction,0.5,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5125935422383453,0.49684882665925156,-0.01574471557909371,0.7,-0.0948917252705047,0.06599112584287081,0.8199151050582092,1.3690541556531717,0.5491390505949626,0.0,0.4649576193456423,0.6309055052254685
123,nonlinear_interaction,1.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5059165911205155,0.21963696547453657,-0.2862796256459788,1.0,-0.31580748072080317,-0.25822560595668836,0.80885527562478,1.164723608485167,0.3558683328603872,0.0,0.28142488246977965,0.4380306184398932
123,nonlinear_interaction,2.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.4405553686138293,0.1337702327948061,-0.30678513581902317,1.0,-0.328857875117697,-0.28459696478183955,0.7468214678448142,0.691689308705876,-0.05513215913893819,0.75,-0.10689751409137935,-0.003922894310008019
123,sparse_minority_curve,0.5,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5068273887199429,0.5275953665870571,0.02076797786711413,0.45,-0.052571442749598005,0.10132263033597587,0.6387436238220521,1.422187167137011,0.783443543314959,0.0,0.7122492902935904,0.8653710104600189
123,sparse_minority_curve,1.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.49916605185848467,0.24583307921369899,-0.25333297264478566,1.0,-0.28990680164522303,-0.218623346717417,0.631669472832459,1.1590063590878892,0.52733688625543,0.0,0.4661623172621469,0.5883750595035391
123,sparse_minority_curve,2.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.4420816287524755,0.12730140958858122,-0.3147802191638942,1.0,-0.3312253569005244,-0.2958731707664233,0.5731273262340324,0.7306319425602408,0.15750461632620835,0.1,0.10290473771919927,0.2163624013257199
123,privacy_noise_sparse,0.5,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.3049092193412559,0.562485335243821,0.25757611590256524,0.0,0.1824832115473002,0.3494454035347412,0.5200770508356247,1.3433441739509555,0.8232671231153305,0.0,0.755244931627981,0.8888928205815795
123,privacy_noise_sparse,1.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.2981365107766292,0.23574242973253115,-0.06239408104409805,0.8,-0.09940247044917054,-0.019971735520883264,0.5127108813342304,1.1551058281079887,0.6423949467737581,0.0,0.5650004927843999,0.7198226215519794
123,privacy_noise_sparse,2.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.26374763162031745,0.1423291040251059,-0.12141852759521157,1.0,-0.14118508059791093,-0.10173382377186041,0.47552248090988314,0.7960778390750494,0.3205553581651664,0.0,0.2624666945507888,0.37964299204139085
123,simple_linear,0.5,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5911266658292746,0.5348684448194948,-0.05625822100977969,0.6,-0.1177817865086998,0.003171710413695967,0.7361240954548455,1.4921089443456201,0.7559848488907746,0.0,0.6647002536008637,0.8499789235562866
123,simple_linear,1.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5800830578440603,0.2683712435606805,-0.3117118142833798,1.0,-0.35197216818903887,-0.2738634119645014,0.7255711187352404,1.18887168683155,0.46330056809630965,0.0,0.378223132890288,0.5513316958838541
123,simple_linear,2.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5136038623367642,0.112933857392889,-0.4006700049438751,1.0,-0.4223778897249382,-0.3791664450953467,0.6622130478460625,0.6736793354291851,0.01146628758312258,0.6,-0.03428557373662462,0.06667336243097172
123,nonlinear_interaction,0.5,1000,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5144933862153067,0.33625394419709204,-0.17823944201821468,0.9,-0.22275722627408848,-0.12570941697936858,0.8184937227895844,1.3014254786671184,0.48293175587753423,0.0,0.41517229860594645,0.5554697734587816
123,nonlinear_interaction,1.0,1000,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5033939324702417,0.19997335824852008,-0.3034205742217215,1.0,-0.32707047176921406,-0.2750038265117138,0.8069544643878549,0.9204303147552242,0.11347585036736951,0.2,0.05461147229158608,0.17549883266138175
123,nonlinear_interaction,2.0,1000,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.44121638963049936,0.07510416313950348,-0.36611222649099584,1.0,-0.38204330314528684,-0.34755260381613157,0.7433261353093097,0.4741427238871271,-0.26918341142218266,1.0,-0.3071614973549006,-0.23088435093966966
123,sparse_minority_curve,0.5,1000,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5087617023543641,0.3365087079454768,-0.17225299440888744,1.0,-0.2151927648594622,-0.1305192414964869,0.6408459445223239,1.2830937970239957,0.6422478525016719,0.0,0.5623175030297684,0.721136214544686
123,sparse_minority_curve,1.0,1000,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.49443638225142267,0.20569532282372163,-0.2887410594277012,1.0,-0.3267895082379548,-0.24924265811206198,0.6260164674845397,0.8628360744512893,0.23681960696674986,0.0,0.17077781465442915,0.3020366888186235
123,sparse_minority_curve,2.0,1000,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.44095509846783865,0.10088145761265607,-0.3400736408551825,1.0,-0.3612734502894742,-0.31980814389532264,0.5739940453432213,0.5120337547280153,-0.06196029061520605,0.85,-0.08767570261080923,-0.03326130090985281
123,privacy_noise_sparse,0.5,1000,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.3046871322384645,0.4329990981190129,0.12831196588054833,0.15,0.0666263330695509,0.1847350300688117,0.5201383261292667,1.2543339597643635,0.7341956336350969,0.0,0.6900062864485459,0.7844899935641784
123,privacy_noise_sparse,1.0,1000,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.2994186795779108,0.23423062932876088,-0.06518805024914992,0.75,-0.10791250078668589,-0.019438844687610368,0.514334820898426,0.8780492397082013,0.3637144188097751,0.0,0.3120619797848812,0.4178072595290499
123,privacy_noise_sparse,2.0,1000,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.26650132630923795,0.0867294577957953,-0.17977186851344268,1.0,-0.19455325725154102,-0.16306835153863222,0.4785565881477486,0.5498911380713646,0.07133454992361599,0.2,0.031107008842827837,0.11516064322858499
123,simple_linear,0.5,1000,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5941943930693405,0.36462897658498,-0.2295654164843605,0.9,-0.29378728432485496,-0.16159495098976448,0.7389866439792201,1.328456270520006,0.5894696265407857,0.0,0.5263226490703273,0.6530315654975811
123,simple_linear,1.0,1000,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5770634161228335,0.21876845731634234,-0.3582949588064911,1.0,-0.38543726603882544,-0.3305794089256381,0.7220240223369145,0.884793175597926,0.16276915326101143,0.15,0.08300692894389003,0.25752960769818894
123,simple_linear,2.0,1000,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5090408223814527,0.0913252217044834,-0.41771560067696906,1.0,-0.43880821201155573,-0.3927397659380674,0.6584001459121873,0.5013242531739251,-0.157075892738262,0.9,-0.19939439921515012,-0.11529173223122668
